Element,Branch_ID,P,Q,V,xi,R,L,Filename
Y22,f,-0.3,-1.0,0.9,10.0,2259.4779911575088,221.23171166961055,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y22,a,-0.3,-0.5,0.9,-8.947,-60.80922911442281,-0.0711335249210479,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y22,b,-0.3,-0.5,0.9,-8.947,-5.791006079730886,-0.0273968456272719,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y22,c,-0.3,-0.5,0.9,-8.947,-10.559727739330585,-0.1024358830729159,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y22,d,-0.3,-0.5,0.9,-8.947,-1231.689032903218,-82.90269805079035,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y22,e,-0.3,-0.5,0.9,-8.947,38.00923006082895,2.789652083615764,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y22,f,-0.3,-0.5,0.9,-8.947,-2022.2603840869335,-198.0050825595735,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y22,a,-0.3,-0.5,0.9,-4.737,-117.14934092958912,-0.1370391580991539,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y22,b,-0.3,-0.5,0.9,-4.737,-3.5873973164776487,-0.0169717263511823,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y22,c,-0.3,-0.5,0.9,-4.737,-18.87080623870453,-0.1830584792598042,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y22,d,-0.3,-0.5,0.9,-4.737,-2179.984389142342,-146.73069418263808,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y22,e,-0.3,-0.5,0.9,-4.737,38.31579558815517,2.812152175649131,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y22,f,-0.3,-0.5,0.9,-4.737,-4612.778111596681,-451.6498060478097,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y22,a,-0.3,-0.5,0.9,-6.842,-80.23021353343357,-0.0938518375732528,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y22,b,-0.3,-0.5,0.9,-6.842,-4.428840028735502,-0.0209525331012582,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y22,c,-0.3,-0.5,0.9,-6.842,-13.414767232944453,-0.1301315300588766,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y22,d,-0.3,-0.5,0.9,-6.842,-1556.9649408844805,-104.79641420646244,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y22,e,-0.3,-0.5,0.9,-6.842,38.10898119427363,2.7969732255071538,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y22,f,-0.3,-0.5,0.9,-6.842,-2890.1609868979663,-282.9836203016833,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y22,a,-0.3,-0.5,0.9,-5.789,-95.30890209186306,-0.1114906118838035,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y22,b,-0.3,-0.5,0.9,-5.789,-3.963380183883787,-0.0187504750582301,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y22,c,-0.3,-0.5,0.9,-5.789,-15.64064721537677,-0.1517239410796253,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y22,d,-0.3,-0.5,0.9,-5.789,-1811.0064348563576,-121.89547482781109,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y22,e,-0.3,-0.5,0.9,-5.789,38.19888722627166,2.8035717949277936,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y22,f,-0.3,-0.5,0.9,-5.789,-3585.014164389848,-351.01860825684884,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
