Element,P,Q,V,xi,R,L,Filename
Y11,-0.3,-1.0,0.95,1.579,2458.950656641497,181.12433281178085,iP01_iV02_iQ01_iX12__P-300m_Q-1000m_V+950m_xi+1579md.csv
Y11,-0.3,-1.0,0.95,0.526,7575.84929900684,558.0309914120389,iP01_iV02_iQ01_iX11__P-300m_Q-1000m_V+950m_xi+526md.csv
Y11,-0.3,-1.0,0.95,-0.526,-7789.501852263028,-573.768451544753,iP01_iV02_iQ01_iX10__P-300m_Q-1000m_V+950m_xi-526md.csv
Y11,-0.3,-1.0,0.95,-1.579,-2673.082902122673,-196.8971443933989,iP01_iV02_iQ01_iX09__P-300m_Q-1000m_V+950m_xi-1579md.csv
Y11,-0.3,-1.0,0.95,4.737,761.7713861960526,56.11146959067513,iP01_iV02_iQ01_iX15__P-300m_Q-1000m_V+950m_xi+4737md.csv
Y11,-0.3,-1.0,0.95,3.684,1002.5646520125584,73.84810863631232,iP01_iV02_iQ01_iX14__P-300m_Q-1000m_V+950m_xi+3684md.csv
Y11,-0.3,-1.0,0.95,5.789,609.4861040360526,44.89425781032147,iP01_iV02_iQ01_iX16__P-300m_Q-1000m_V+950m_xi+5789md.csv
Y11,-0.3,-1.0,0.95,2.632,1438.2519267542275,105.94048438514542,iP01_iV02_iQ01_iX13__P-300m_Q-1000m_V+950m_xi+2632md.csv
Y11,-0.3,-1.0,0.95,6.842,504.7982835128145,37.1830368284224,iP01_iV02_iQ01_iX17__P-300m_Q-1000m_V+950m_xi+6842md.csv
Y11,-0.3,-1.0,0.95,7.895,428.62187275984553,31.57194354934968,iP01_iV02_iQ01_iX18__P-300m_Q-1000m_V+950m_xi+7895md.csv
Y11,-0.3,-0.5,0.95,-8.947,-1754.962281314029,-129.26911503417375,iP01_iV02_iQ02_iX02__P-300m_Q-500m_V+950m_xi-8947md.csv
Y11,-0.3,-1.0,0.95,10.0,325.6584822826079,23.987742705647328,iP01_iV02_iQ01_iX20__P-300m_Q-1000m_V+950m_xi+10000md.csv
Y11,-0.3,-1.0,0.95,8.947,370.8566552573215,27.317003947292108,iP01_iV02_iQ01_iX19__P-300m_Q-1000m_V+950m_xi+8947md.csv
